Fecha,Magnitud,Profundidad,Ubicación,Latitud,Longitud,Tipo,Estatus,Tsunami,Alerta,Significancia,Tipo de Origen,Fuente
1617891473177,2.5,45.4,"21 km SSE of Point Possession, Alaska",60.7447,-150.5432,earthquake,reviewed,0,,97,,ak
1617891321978,2.6,142.9,"56 km E of Port Alsworth, Alaska",60.1824,-153.3022,earthquake,reviewed,0,,104,,ak
1617813024238,2.5,111.8,"69 km WNW of Anchor Point, Alaska",60.0266,-152.9598,earthquake,reviewed,0,,96,,ak
1617810058647,2.5,142.4,"46 km ENE of Pedro Bay, Alaska",59.992,-153.391,earthquake,reviewed,0,,96,,ak
1617795984763,2.8,129.4,"66 km ESE of Denali National Park, Alaska",63.3085,-150.487,earthquake,reviewed,0,,121,,ak
1617789410620,2.8,92.9,"54 km WNW of Nanwalek, Alaska",59.5423,-152.818,earthquake,reviewed,0,,121,,ak
1617777336954,3.2,135.6,"36 km ENE of Pedro Bay, Alaska",59.8676,-153.4671,earthquake,reviewed,0,,158,,ak
1617663914198,2.9,69.1,"25 km WNW of Karluk, Alaska",57.6166,-154.879,earthquake,reviewed,0,,129,,ak
1617594489377,3.0,75.1,"35 km S of Skwentna, Alaska",61.672,-151.3769,earthquake,reviewed,0,,138,,ak
1617557622155,2.5,83.3,"85 km N of Karluk, Alaska",58.2999,-154.2837,earthquake,reviewed,0,,96,,ak
1617556161923,3.8,2.9,"23 km SSW of Tanacross, Alaska",63.1898,-143.5232,earthquake,reviewed,0,,223,,ak
1617482823197,3.1,69.9,"39 km SSW of Nanwalek, Alaska",59.0477,-152.2619,earthquake,reviewed,0,,148,,ak
1617475156860,2.5,92.0,"8 km WNW of Skwentna, Alaska",62.0183,-151.5583,earthquake,reviewed,0,,96,,ak
1617442023344,2.8,11.6,"47 km E of Denali National Park, Alaska",63.5791,-150.7655,earthquake,reviewed,0,,121,,ak
1617402066859,2.5,48.2,"4 km WSW of Homer, Alaska",59.6312,-151.6323,earthquake,reviewed,0,,96,,ak
1617401967081,2.9,103.6,"58 km E of Pedro Bay, Alaska",59.7062,-153.086,earthquake,reviewed,0,,129,,ak
1617397745720,2.5,86.0,"93 km NW of Aleneva, Alaska",58.6258,-154.0894,earthquake,reviewed,0,,96,,ak
1617366661296,2.8,102.1,"48 km W of Tyonek, Alaska",61.1361,-152.0185,earthquake,reviewed,0,,121,,ak
1617360256568,2.5,45.2,"15 km SSE of Funny River, Alaska",60.383,-150.6096,earthquake,reviewed,0,,96,,ak
1617331301855,2.5,38.0,"19 km NW of Fishhook, Alaska",61.873,-149.4775,earthquake,reviewed,0,,96,,ak
1617329179490,3.0,85.8,"21 km NW of Ninilchik, Alaska",60.1798,-151.9433,earthquake,reviewed,0,,140,,ak
